iphone;quarter;cap
0.27;01/10/2007;100
1.12;31/12/2007;100
2.32;31/03/2008;100
1.7;01/07/2008;100
0.72;01/10/2008;100
6.89;31/12/2008;100
4.36;31/03/2009;100
3.79;01/07/2009;100
5.21;01/10/2009;100
7.37;31/12/2009;100
8.74;31/03/2010;100
8.75;01/07/2010;100
8.4;01/10/2010;100
14.1;31/12/2010;100
16.24;31/03/2011;100
18.65;01/07/2011;100
20.34;01/10/2011;100
17.07;31/12/2011;100
37.04;31/03/2012;100
35.06;01/07/2012;100
26.03;01/10/2012;100
26.91;31/12/2012;100
47.79;31/03/2013;100
37.43;01/07/2013;100
31.24;01/10/2013;100
33.8;31/12/2013;100
51.03;31/03/2014;100
43.72;01/07/2014;100
35.2;01/10/2014;100
39.27;31/12/2014;100
74.47;31/03/2015;100
61.17;01/07/2015;100
47.53;01/10/2015;100
48.05;31/12/2015;100
74.78;31/03/2016;100
51.19;01/07/2016;100
40.4;01/10/2016;100
45.51;31/12/2016;100
78.29;31/03/2017;100
50.76;01/07/2017;100
41.03;01/10/2017;100
46.68;31/12/2017;100
77.32;31/03/2018;100
52.22;01/07/2018;100
41.3;01/10/2018;100
46.89;31/12/2018;100
